Date,Country,City,Hotel,Flight,Rental Car,Notes,Flight Price,Hotel Option 1,Hotel Option 2,Hotel Option 3,,,,,,,
"Thursday, December 18, 2025",Mexico,Playa Del Carmen,Aloft,,,,,,,,,,,,,,
"Friday, December 19, 2025",Mexico,Playa Del Carmen,Aloft,,,,,,,,,Things to see,,,,,
"Saturday, December 20, 2025",Mexico,Playa Del Carmen,Aloft,,,,,,,,,Country,Name,Location,Notes,,
"Sunday, December 21, 2025",Mexico,Playa Del Carmen,Aloft,,,,,,,,,Peru,Llanganuco Lakes,Near Huaraz,"80 km north of Huaraz.
Typical drive time: Around 1.5–2.5 hours each way by private vehicle or day tour (tour itineraries to the lakes are often full-day, ~8–11 hours total including stops and return).",,
"Monday, December 22, 2025",Mexico,Playa Del Carmen,Aloft,,,,,,,,,Peru,Huascarán National Park,Near Huaraz,"60–80 km from Huaraz, with drive times of approximately 1 hour 20 minutes to 2 hours",,
"Tuesday, December 23, 2025",Mexico,Playa Del Carmen,Aloft,,,,,,,,,Peru,Pastoruri Glacier,Near Huaraz,"70–80 km southeast of Huaraz, deep within Huascarán National Park.
Typical drive time: About 3 hours each way from Huaraz by vehicle on a day trip route used by tours.",,
"Wednesday, December 24, 2025",Mexico,Playa Del Carmen,Aloft,,,Christmas ,,,,,,Peru,Huaraz,Huaraz,"Largest town near the mountains, used as the base to visit the various places. Also has an airport and bus station.
Round trip flight from Lima is $265 with bags
Round trip bus from Lima is $80 (7 hours each way)",,
"Thursday, December 25, 2025",Mexico,Playa Del Carmen,Aloft,,,,,,,,,,,,,,
"Friday, December 26, 2025",Mexico,Playa Del Carmen,Aloft,,,,,,,,,,,,,,
"Saturday, December 27, 2025",Mexico,Tulum,Tuk Tulum,,,,,,,,,,,,,,
"Sunday, December 28, 2025",Mexico,Tulum,Tuk Tulum,,,,,,,,,,,,,,
"Monday, December 29, 2025",Mexico,Tulum,Tuk Tulum,,,,,,,,,Flight Planning - Option 1,,Total,"$2,222",,
"Tuesday, December 30, 2025",Mexico,Tulum,Cancun Marriott City Express,,,,,,,,,Date,From ,To,Price,,
"Wednesday, December 31, 2025",Colombia,Medellín,Soul Lifestyle Hotel,10:00am,,Flight to Medellin 10am,,,,,,Feb 19,UIO,SJO,$400,,
"Thursday, January 1, 2026",Colombia,Medellín,Soul Lifestyle Hotel,,,New Years,,,,,,Feb 27,SJO,CUZ,$441,,
"Friday, January 2, 2026",Colombia,Medellín,Soul Lifestyle Hotel,,,Free cancellation before Dec 31,,,,,,?,AQP,LAX,$890,,
"Saturday, January 3, 2026",Colombia,Medellín,Soul Lifestyle Hotel,,,,,,,,,?,LAX,DAD,$491,,
"Sunday, January 4, 2026",Colombia,Medellín,Soul Lifestyle Hotel,,,,,,,,,,,,,,
"Monday, January 5, 2026",Colombia,Medellín,Soul Lifestyle Hotel,,,,,,,,,,,,,,
"Tuesday, January 6, 2026",Colombia,Medellín,Soul Lifestyle Hotel,,,,,,,,,,,,,,
"Wednesday, January 7, 2026",Colombia,Cartagena,Townhouse Boutique Hotel,11:00am,,Flight to Cartagena,,,,,,Flight Planning - Option 2,,Total,"$2,379",,
"Thursday, January 8, 2026",Colombia,Cartagena,Townhouse Boutique Hotel,,,"Includes Breakfast
50% refundable",,,,,,Date,From ,To,Price,,
"Friday, January 9, 2026",Colombia,Cartagena,Townhouse Boutique Hotel,,,,,,,,,Feb 22,UIO,CUZ,$450,,
"Saturday, January 10, 2026",Colombia,Santa Marta,AC Hotel Santa Marta,,,"Marriott
cancellable until Jan 3",,,,,,March 6,AQP,SJO,$400,,
"Sunday, January 11, 2026",Colombia,Santa Marta,AC Hotel Santa Marta,,,"https://brgclaimsubmission.fornova.com/marriott
74701267",,,,,,March 15,SJO,LAX,$349,,
"Monday, January 12, 2026",Colombia,Park Tayrona,Hotel Isabella Tayrona,,,"Free cancellation
Travel to the park by bus/shuttle",,,,,,March 16,LAX,DAD,$491,,
"Tuesday, January 13, 2026",Colombia,Park Tayrona,Hotel Isabella Tayrona,,,Explore Park Tuesday during the day,,,,,,April 15,DAD,HAN,$80,,
"Wednesday, January 14, 2026",Colombia,Cartagena,,,,,,,,,,April 16,HAN,CKG,$156,,
"Thursday, January 15, 2026",Colombia,Cartagena,,,,,,,,,,April 21,CKG,CAI,$453,,
"Friday, January 16, 2026",Colombia,Cali,Hotel Foresta 365,,,Free cancellation before Jan 13,,,,,,,,,,,
"Saturday, January 17, 2026",Colombia,Cali,Hotel Foresta 365,,,,,,,,,,,,,,
"Sunday, January 18, 2026",Colombia,Cali,Hotel Foresta 365,,,,,,,,,,,,,,
"Monday, January 19, 2026",Colombia,Bogota,,,,,,,,,,,,,,,
"Tuesday, January 20, 2026",Colombia,Bogota,,,,,,,,,,,,,,,
"Wednesday, January 21, 2026",Mexico,Mexico City,Airbnb,,,Free cancellation before Jan 16,,,,,,,,,,,
"Thursday, January 22, 2026",Mexico,Mexico City,Airbnb,,,,,,,,,,,,,,
"Friday, January 23, 2026",Mexico,Mexico City,Airbnb,,,Eduardo,,,,,,,,,,,
"Saturday, January 24, 2026",Mexico,Mexico City,Airbnb,,,Eduardo,,,,,,,,,,,
"Sunday, January 25, 2026",Mexico,Mexico City,Airbnb,,,Eduardo,,,,,,,,,,,
"Monday, January 26, 2026",Mexico,Oaxaca,Outsite,,,Free Cancellation,,,,,,,,,,,
"Tuesday, January 27, 2026",Mexico,Oaxaca,Outsite,,,,,,,,,,,,,,
"Wednesday, January 28, 2026",Mexico,Oaxaca,Outsite,,,,,,,,,,,,,,
"Thursday, January 29, 2026",Mexico,Oaxaca,Outsite,,,,,,,,,,,,,,
"Friday, January 30, 2026",Mexico,Oaxaca,Outsite,,,,,,,,,,,,,,
"Saturday, January 31, 2026",Mexico,Mexico City,,,,$77 a day hotel,,,,,,,,,,,
"Sunday, February 1, 2026",Mexico,Mexico City,,,,,,,,,,,,,,,
"Monday, February 2, 2026",Mexico,Mexico City,,,,,,,,,,,,,,,
"Tuesday, February 3, 2026",Mexico,Mexico City,,,,,,,,,,,,,,,
"Wednesday, February 4, 2026",Mexico,Mexico City,,,,,,,,,,,,,,,
"Thursday, February 5, 2026",Mexico,Mexico City,,,,,,,,,,,,,,,
"Friday, February 6, 2026",Mexico,Mexico City/Quito,,"Flight 1pm - 8pm 
AV 633 + AV 647",,,,,,,,,,,,,
"Saturday, February 7, 2026",Ecuador,"Tour Day 1
Quito",,,,Galapagos Intrepid Trip!!,,,,,,,,,,,
"Sunday, February 8, 2026",Ecuador,"Tour Day 2
Quito/Galápagos Islands",,,,Galapagos Intrepid Trip!!,,,,,,,,,,,
"Monday, February 9, 2026",Ecuador,"Tour Day 3
Galápagos Islands",,,,Galapagos Intrepid Trip!!,,,,,,,,,,,
"Tuesday, February 10, 2026",Ecuador,"Tour Day 4
Galápagos Islands",,,,Galapagos Intrepid Trip!!,,,,,,,,,,,
"Wednesday, February 11, 2026",Ecuador,"Tour Day 5
Galápagos Islands/Quito",,,,Galapagos Intrepid Trip!!,,,,,,,,,,,
"Thursday, February 12, 2026",Ecuador,"Tour Ends
Quito","Airbnb
Cancellable",,,Galapagos Intrepid Trip!!,,,,,,,,,,,
"Friday, February 13, 2026",Ecuador,Quito,"Airbnb
Cancellable",,,,,,,,,,,,,,
"Saturday, February 14, 2026",Ecuador,Quito,"Airbnb
Cancellable",,,,,,,,,,,,,,
"Sunday, February 15, 2026",Ecuador,Quito,"Airbnb
Cancellable",,,,,,,,,,,,,,
"Monday, February 16, 2026",Ecuador,Quito,"Airbnb
Cancellable",,,,,,,,,,,,,,
"Tuesday, February 17, 2026",Ecuador,Quito,"Airbnb
Cancellable",,,,,,,,,,,,,,
"Wednesday, February 18, 2026",Ecuador,Quito,"Airbnb
Cancellable",,,,,,,,,,,,,,
"Thursday, February 19, 2026",Ecuador,Quito/unbooked,"Airbnb
Cancellable",,,,,,,,,,,,,,
"Friday, February 20, 2026",Ecuador,Quito/unbooked,"Airbnb
Cancellable",,,,,,,,,,,,,,
"Saturday, February 21, 2026",Ecuador,Cusco & Sacred Valley,Glamping,,sixt rentals,,,,,,,,,,,,
"Sunday, February 22, 2026",Ecuador,Cusco & Sacred Valley,"Airbnb
Cancellable",,sixt rentals,,,,,,,,,,,,
"Monday, February 23, 2026",Ecuador,Cusco & Sacred Valley,"Airbnb
Cancellable",,sixt rentals,,,,,,,,,,,,
"Tuesday, February 24, 2026",Peru,Cusco & Sacred Valley,"Airbnb
Cancellable",,sixt rentals,Susanna Arrives,,,,,,,,,,,
"Wednesday, February 25, 2026",Peru,Cusco & Sacred Valley,"Airbnb
Cancellable",,sixt rentals,,,,,,,,,,,,
"Thursday, February 26, 2026",Peru,Cusco & Sacred Valley,"Airbnb
Cancellable",,sixt rentals,Machu Picchu ,,,,,,,,,,,
"Friday, February 27, 2026",Peru,Cusco & Sacred Valley,"Airbnb
Cancellable",,sixt rentals,,,,,,,,,,,,
"Saturday, February 28, 2026",Peru,Arequipa,"Airbnb
Cancellable","Flight 1:30pm 
LA 2325",sixt rentals,,,,,,,,,,,,
"Sunday, March 1, 2026",Peru,Arequipa,"Airbnb
Cancellable",,sixt rentals,,,,,,,,,,,,
"Monday, March 2, 2026",Peru,Cabanaconde,,,sixt rentals,2nd largest canyon in the world,,,,,,,,,,,
"Tuesday, March 3, 2026",Peru,Cabanaconde,,,sixt rentals,,,,,,,,,,,,
"Wednesday, March 4, 2026",Peru,Cabanaconde,,,sixt rentals,,,,,,,,,,,,
"Thursday, March 5, 2026",Peru,Arequipa,,,sixt rentals,,,,,,,,,,,,
"Friday, March 6, 2026",Peru,Puno,Hotel Lake titicaca,,sixt rentals,,,,,,,,,,,,
"Saturday, March 7, 2026",Peru,Puno,Hotel Lake titicaca,,sixt rentals,Lake Titicaca,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Sunday, March 8, 2026",Peru,Puno,,,,,,,,,,,,,,,
"Monday, March 9, 2026",Peru,Puno,Hotel Lake titicaca,,sixt rentals,,,,,,,,,,,,
